Library, Pyfirmata
Time [s], Voltage Pin A0 [V]
0.5,0.0
1.0,0.0
1.5,0.0
2.0,0.0
2.5,0.0
3.0,0.0
3.5,2.6635
4.0,4.477
4.5,4.482
5.0,4.477
5.5,4.482
6.0,4.477
6.5,4.355
7.0,5.0
7.5,0.0
8.0,0.0
8.5,0.0
9.0,0.0
9.5,0.0
10.0,5.0
10.5,5.0
11.0,5.0
11.5,5.0
12.0,5.0
12.5,3.5925000000000002
13.0,0.0
13.5,0.0
14.0,0.0
14.5,0.0
15.0,4.7215
15.5,3.2845000000000004
16.0,3.3285
16.5,3.2845000000000004
17.0,3.3285
17.5,3.2845000000000004
18.0,3.3285
18.5,3.2845000000000004
19.0,0.0
19.5,5.0
20.0,0.0
20.5,0.0
21.0,0.0
21.5,0.0
22.0,0.0
22.5,0.0
23.0,0.0
23.5,0.0
24.0,0.0
24.5,0.0
25.0,0.0
