Library, wxPython, Pyfirmata
Time [s], Voltage Pin A0 [V], Voltage Pin A1 [V], Umbral [V]
0.5, 4.482000, 3.289500, 5.000000
1.0, 4.482000, 3.289500, 5.000000
1.5, 4.477000, 3.284500, 5.000000
2.0, 4.477000, 3.284500, 5.000000
2.5, 4.477000, 3.284500, 5.000000
3.0, 4.482000, 3.284500, 5.000000
3.5, 4.482000, 3.284500, 5.000000
4.0, 4.482000, 3.289500, 5.000000
4.5, 4.477000, 2.365500, 5.000000
5.0, 4.482000, 2.072500, 5.000000
5.5, 4.482000, 5.000000, 5.000000
6.0, 4.477000, 5.000000, 5.000000
6.5, 4.482000, 5.000000, 5.000000
7.0, 4.477000, 5.000000, 5.000000
7.5, 4.477000, 5.000000, 5.000000
8.0, 4.477000, 5.000000, 5.000000
8.5, 4.482000, 5.000000, 5.000000
9.0, 4.462500, 5.000000, 5.000000
9.5, 4.477000, 5.000000, 5.000000
10.0, 4.477000, 5.000000, 5.000000
10.5, 4.477000, 5.000000, 5.000000
11.0, 4.487000, 5.000000, 0.000000
11.5, 4.477000, 5.000000, 4.000000
12.0, 4.472000, 5.000000, 4.000000
12.5, 4.477000, 5.000000, 4.000000
13.0, 4.477000, 5.000000, 4.000000
13.5, 4.477000, 5.000000, 4.000000
14.0, 4.477000, 5.000000, 4.000000
14.5, 5.000000, 5.000000, 4.000000
15.0, 0.000000, 5.000000, 4.000000
15.5, 0.000000, 5.000000, 4.000000
16.0, 0.000000, 5.000000, 4.000000
16.5, 0.000000, 5.000000, 4.000000
17.0, 0.000000, 5.000000, 4.000000
17.5, 0.000000, 5.000000, 4.000000
18.0, 0.000000, 5.000000, 4.000000
18.5, 0.000000, 5.000000, 4.000000
19.0, 0.000000, 5.000000, 4.000000
19.5, 0.000000, 5.000000, 4.000000
20.0, 0.000000, 5.000000, 4.000000
20.5, 0.000000, 5.000000, 4.000000
21.0, 0.000000, 5.000000, 4.000000
21.5, 0.000000, 5.000000, 4.000000
22.0, 0.000000, 5.000000, 4.000000
